,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
56,20323.59,1825.17,496.92,7.0,374.0,755.0,850.1,543.92,707.63,855.13,18.0,0.88,9567.0,0.6,1.94,80.47,1.06,22705.4,Somatostatin (SOM)-positive
57,17823.8,1359.41,508.842,9.0,528.0,1065.0,551.91,255.59,406.22,543.28,21.0,0.85,8750.0,0.55,1.96,84.2,1.07,21564.9,Somatostatin (SOM)-positive
58,27707.9,3787.81,1021.55,7.0,378.0,763.0,491.05,425.17,450.67,851.25,18.0,0.86,8618.0,0.6,1.95,82.62,1.07,20520.9,Somatostatin (SOM)-positive
59,22034.0,2163.4,576.294,6.0,460.0,926.0,368.57,429.51,449.66,646.8,22.0,0.88,7323.0,0.51,1.96,86.53,1.05,24036.2,Neuropeptide Y (NPY)-positive
60,5679.55,762.74,650.82,6.0,62.0,130.0,250.9,597.0,413.39,611.39,16.0,0.86,1938.0,0.64,1.86,90.13,1.05,4457.42,Others
61,9603.4,1277.98,375.029,7.0,189.0,385.0,309.67,467.88,334.34,471.6,16.0,0.86,4617.0,0.59,1.91,89.11,1.07,8212.04,Others
62,31462.3,2763.61,1023.54,8.0,766.0,1540.0,857.0,677.79,812.93,1048.94,36.0,0.88,16089.0,0.57,1.94,85.09,1.06,35990.3,Somatostatin (SOM)-positive
63,17587.7,1203.39,745.55,7.0,389.0,785.0,584.35,542.42,572.87,792.13,27.0,0.79,12504.0,0.58,1.95,78.46,1.09,22178.0,Somatostatin (SOM)-positive
65,6794.9,891.0,1134.93,12.0,96.0,204.0,381.33,520.68,397.01,1404.55,24.0,0.79,21534.0,0.5,1.69,85.61,1.05,11941.2,pyramidal_neocortex
66,17826.59,2071.87,812.573,8.0,137.0,282.0,620.29,1159.45,711.44,1368.43,18.0,0.69,9655.0,0.55,1.66,78.84,1.14,17435.2,pyramidal_neocortex
67,16117.1,1252.5,919.192,6.0,189.0,384.0,520.57,645.53,471.13,1024.07,20.0,0.78,11691.0,0.62,1.8,84.67,1.12,18786.0,pyramidal_neocortex
68,21660.7,1512.09,940.943,8.0,324.0,656.0,350.43,691.33,461.49,602.26,16.0,0.81,13377.0,0.48,1.94,73.18,1.09,26526.1,Others
69,9073.2,758.98,703.067,7.0,73.0,153.0,754.79,1051.83,993.88,1432.01,14.0,0.82,4385.0,0.53,1.63,75.3,1.08,10082.1,pyramidal_neocortex
70,12871.4,938.87,447.89599999999996,7.0,153.0,313.0,467.88,682.27,568.82,851.97,17.0,0.8,8307.0,0.58,1.88,77.93,1.09,15386.5,pyramidal_neocortex
71,10260.2,715.76,473.001,6.0,114.0,234.0,655.87,654.68,652.62,1265.33,16.0,0.83,6614.0,0.59,1.92,78.13,1.08,12446.8,pyramidal_neocortex
72,12319.5,825.01,593.525,6.0,124.0,254.0,745.2,726.16,653.42,1105.44,15.0,0.78,7983.0,0.58,1.9,74.89,1.11,15225.7,pyramidal_neocortex
73,20736.4,3717.24,1185.37,11.0,115.0,241.0,371.58,1193.13,866.12,1041.11,25.0,0.89,12199.0,0.54,1.63,70.54,1.03,14535.7,pyramidal_neocortex
74,4321.57,562.03,696.4019999999999,6.0,25.0,56.0,254.1,850.4,567.82,813.08,12.0,0.77,1631.0,0.72,1.49,92.96,1.1,3823.92,pyramidal_neocortex
76,11180.0,1679.02,1163.94,8.0,75.0,158.0,294.45,759.02,577.47,1007.58,20.0,0.79,11184.0,0.56,1.82,80.77,1.05,10884.1,pyramidal_neocortex
